original_name,topic,stage,purpose,category,new_filename,description
file2.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99308, Requested 863. Please try again in 2m27.744s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
file2_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99308, Requested 863. Please try again in 2m27.744s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
finding duplicate number.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99308, Requested 925. Please try again in 3m21.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
finding duplicate number_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99308, Requested 925. Please try again in 3m21.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
first calender.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99307, Requested 2109. Please try again in 20m23.424s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
first calender_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99307, Requested 2097. Please try again in 20m13.056s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Fractional_Knapsack.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99307, Requested 1183. Please try again in 7m3.36s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Fractional_Knapsack_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99307, Requested 1177. Please try again in 6m58.176s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
function orderlist. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99307, Requested 3027. Please try again in 33m36.576s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
function orderlist. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99307, Requested 3009. Please try again in 33m21.024s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
function-multiplication_.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99307, Requested 899. Please try again in 2m57.984s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
function-multiplication__1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99306, Requested 899. Please try again in 2m57.12s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
gags.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99306, Requested 1177. Please try again in 6m57.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
gags_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99306, Requested 1183. Please try again in 7m2.496s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
gcd recursion.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99306, Requested 929. Please try again in 3m23.04s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
gcd recursion_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99306, Requested 929. Please try again in 3m23.04s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
grains_problem.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99306, Requested 931. Please try again in 3m24.768s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
grains_problem_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99306, Requested 925. Please try again in 3m19.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
h10 (1).c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 979. Please try again in 4m5.376s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
h10 (1)_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 973. Please try again in 4m0.191999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
h10.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 969. Please try again in 3m56.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
h10_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 969. Please try again in 3m56.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
h14.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 915. Please try again in 3m10.08s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
h14_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 903. Please try again in 2m59.712s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
h9.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 925. Please try again in 3m18.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
h9_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 925. Please try again in 3m18.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
hackerrank 3 or 5.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 908. Please try again in 3m3.168s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
hackerrank 3 or 5_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 926. Please try again in 3m18.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
haha. c (1).c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 1256. Please try again in 8m3.84s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
haha. c (1)_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 1262. Please try again in 8m9.024s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
haha. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 1298. Please try again in 8m40.128s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
haha. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 1298. Please try again in 8m40.128s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
hahshs.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 2237. Please try again in 22m11.424s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
hahshs_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 2237. Please try again in 22m10.56s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Harsha Calendar Project.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 2348. Please try again in 23m46.464s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Harsha Calendar Project_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 2336. Please try again in 23m36.095999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Harsha Project Calendar. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 2348. Please try again in 23m46.464s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Harsha Project Calendar. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 2336. Please try again in 23m36.095999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
harsha. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 1250. Please try again in 7m57.792s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
harsha. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 1244. Please try again in 7m52.608s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
hello.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 878. Please try again in 2m35.519999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Helloworld.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 847. Please try again in 2m8.735999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Helloworld_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 841. Please try again in 2m3.552s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
hello_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 860. Please try again in 2m19.968s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
hshsh. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 2978. Please try again in 32m49.92s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
hshsh. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 2978. Please try again in 32m49.92s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
infinity.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 852. Please try again in 2m13.055999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
infinity_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 846. Please try again in 2m7.872s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
inputstring.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 844. Please try again in 2m5.279999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
inputstring_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 844. Please try again in 2m5.279999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
kruskal.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 1295. Please try again in 8m34.943999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
kruskal_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 1295. Please try again in 8m34.943999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
last. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 1156. Please try again in 6m34.848s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
last. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 1162. Please try again in 6m40.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
lcm. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 968. Please try again in 3m52.416s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
lcm. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99300, Requested 974. Please try again in 3m56.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Linked list project1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99300, Requested 1884. Please try again in 17m2.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Linked list project1_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99300, Requested 1896. Please try again in 17m13.344s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
ll.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99300, Requested 1236. Please try again in 7m43.104s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
ll_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99300, Requested 1230. Please try again in 7m37.92s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
main (1).c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99300, Requested 1108. Please try again in 5m52.512s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
